Survey of Music History II	09:45:00 AM	11:15:00 AM	Allen (Stephen A.)
Survey of Music History II	09:45:00 AM	11:15:00 AM	Allen (Stephen A.)
The Music of Radiohead	02:50:00 PM	04:20:00 PM	Allen (Stephen A.)
Quantitative Methods.	01:10:00 PM	02:40:00 PM	Amadio (William J.)
Expository Writing	01:10:00 PM	02:40:00 PM	Amato (Mary)
Expository Writing	02:50:00 PM	04:20:00 PM	Amato (Mary)
Marketing Research	09:45:00 AM	11:15:00 AM	Amazeen (Michelle A.)
Marketing Research	11:30:00 AM	01:00:00 PM	Amazeen (Michelle A.)
Advertising Campaigns	01:10:00 PM	02:40:00 PM	Amazeen (Michelle A.)
Acting II: Scene Study	11:30:00 AM	12:30:00 PM	Andrews (Anne M.)
Psychology and Culture	01:10:00 PM	02:40:00 PM	Ansary (Nadia S.)
Developmental Education Psych	08:00:00 AM	02:00:00 PM	Baer (John M.)
Methd Tchg Math in Elem Class	11:00:00 AM	02:00:00 PM	Baldassarre (Cheryl A.)
Marketing Principles	09:10:00 AM	10:10:00 AM	Bartholomew (Darrell E.)
Marketing Principles	10:20:00 AM	11:20:00 AM	Bartholomew (Darrell E.)
Internet Marketing	01:10:00 PM	02:10:00 PM	Bartholomew (Darrell E.)
Ballet IV	08:00:00 AM	09:30:00 AM	Barton (Mary L.)
Ballet V	09:45:00 AM	11:15:00 AM	Barton (Mary L.)
Intro. to Organic and Biochem	09:45:00 AM	11:15:00 AM	Benoff (Brian)
Intro to Organic & Biochm Lab	01:10:00 PM	04:10:00 PM	Benoff (Brian)
Organic Chemistry II Lab	01:10:00 PM	04:10:00 PM	Benoff (Brian)
HONORS: Principles of Micro	01:10:00 PM	02:40:00 PM	Bentley (Jerome T.)
Principles of Microeconomics	04:30:00 PM	06:00:00 PM	Bentley (Jerome T.)
Genetics	09:10:00 AM	10:10:00 AM	Bidle (Kelly A.)
Genetics Lab	01:10:00 PM	04:10:00 PM	Bidle (Kelly A.)
Acting IV: Styles of Acting	09:45:00 AM	11:15:00 AM	Blanton (Trenton R.)
Acting II: Scene Study	01:10:00 PM	02:40:00 PM	Blanton (Trenton R.)
General Physics II	08:00:00 AM	09:00:00 AM	Bochanski (John J.)
Astronomy	10:20:00 AM	11:20:00 AM	Bochanski (John J.)
General Physics II Lab	01:10:00 PM	04:10:00 PM	Bochanski (John J.)
General Physics II Lab	01:10:00 PM	04:10:00 PM	Bochanski (John J.)
Modern Geometry	09:10:00 AM	10:10:00 AM	Borcea (Ciprian S.)
Differential Equations	10:20:00 AM	11:20:00 AM	Borcea (Ciprian S.)
Top in Adv Mth:Alge Geometry	02:50:00 PM	04:20:00 PM	Borcea (Ciprian S.)
Expository Writing	08:00:00 AM	09:30:00 AM	Borochok (Luba)
Seminar in Poltical Science	02:50:00 PM	04:20:00 PM	Brogan (Michael J.)
Intro to App. Behavior Analys	02:50:00 PM	04:20:00 PM	Brosvic (Gary M.)
Communication Law	11:30:00 AM	12:30:00 PM	Brown (Pamela A.)
Earth Materls & Processes Lab	02:50:00 PM	05:50:00 PM	Browne (Kathleen M.)
Earth Materls & Processes Lab	02:50:00 PM	05:50:00 PM	Browne (Kathleen M.)
Introductory Oceanography Lab	02:50:00 PM	05:50:00 PM	Browne (Kathleen M.)
Methd Tchg Math in Elem Class	08:00:00 AM	10:59:00 AM	Bulgar (Sylvia)
